id,line_item_quantity,line_item_value,pack_price,unit_price,weight_kilograms,freight_cost_usd,line_item_insurance_usd
1,19,551.0,29.0,0.97,13,780.34,240.11762578459698
3,1000,6200.0,6.2,0.03,358,4521.5,240.11762578459698
4,500,40000.0,80.0,0.8,171,1653.78,240.11762578459698
15,31920,127360.8,3.99,0.07,1855,16007.06,240.11762578459698
16,38000,121600.0,3.2,0.05,7590,45450.08,240.11762578459698
23,416,2225.6,5.35,0.02,504,5920.42,240.11762578459698
44,135,4374.0,32.4,0.36,328,Freight Included in Commodity Cost,240.11762578459698
45,16667,60834.55,3.65,0.06,1478,6212.41,240.11762578459698
46,273,532.35,1.95,0.03,See ASN-93 (ID#:1281),See ASN-93 (ID#:1281),240.11762578459698
47,2800,115080.0,41.1,0.34,643,Freight Included in Commodity Cost,240.11762578459698
60,2800,115080.0,41.1,0.34,643,Freight Included in Commodity Cost,240.11762578459698
61,2500,100000.0,40.0,2.0,853,13569.49,240.11762578459698
62,10,850.0,85.0,0.85,Weight Captured Separately,Invoiced Separately,240.11762578459698
64,10000,99800.0,9.98,0.17,7416,64179.42,240.11762578459698
65,750,60000.0,80.0,0.8,256,1760.32,240.11762578459698
68,579,14764.5,25.5,0.42,Weight Captured Separately,Freight Included in Commodity Cost,240.11762578459698
69,1500,120000.0,80.0,0.8,Weight Captured Separately,Freight Included in Commodity Cost,192.0
80,2000,33000.0,16.5,0.55,710,3120.7,240.11762578459698
81483,525,3465.0,6.6,0.11,34,807.47,4.86
87,712,8964.08,12.59,0.06,162,912.96,240.11762578459698
92,1000,80000.0,80.0,0.8,341,2682.47,128.0
96,7500,202500.0,27.0,1.35,2278,15893.71,240.11762578459698
108,5513,140581.5,25.5,0.42,2126,Freight Included in Commodity Cost,224.93
115,1000,1920.0,1.92,0.01,941,4193.49,3.07
116,500,41095.0,82.19,0.68,117,1767.38,65.75
130,750,53992.5,71.99,0.72,171,3518.38,86.39
134,25,8750.0,350.0,3.5,60,3097.85,14.0
138,10000,200000.0,20.0,0.8,3335,27869.74,320.0
139,10000,200000.0,20.0,0.8,3335,28461.1,320.0
140,10000,200000.0,20.0,0.8,3335,28359.8,320.0
161,64000,99200.0,1.55,0.03,4228,12237.61,158.72
176,10000,270000.0,27.0,1.35,3263,20885.78,432.0
262,40,317.6,7.94,0.04,Weight Captured Separately,Freight Included in Commodity Cost,0.51
269,1000,17000.0,17.0,0.57,76,2282.57,27.2
270,400,3352.0,8.38,0.14,23,2149.05,5.36
284,1500,15.0,0.01,0.0,99,0.75,0.02
305,650,6.5,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.01
343,200,340.0,1.7,0.01,Weight Captured Separately,Freight Included in Commodity Cost,0.54
361,2,278.0,139.0,1.39,Weight Captured Separately,Invoiced Separately,0.44
391,476,36176.0,76.0,1.9,509,5446.51,57.88
392,659,13180.0,20.0,0.8,206,2656.12,25.83
398,240,2.4,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.0
399,213,2.13,0.01,0.0,14,360,0.0
400,63,13399.25,212.69,2.13,Weight Captured Separately,Freight Included in Commodity Cost,21.44
410,1634,117631.66,71.99,0.72,373,4112.46,188.21
411,1425,38475.0,27.0,1.35,483,5468.88,61.56
414,142,10222.58,71.99,0.72,33,1715.17,16.36
420,8400,96432.0,11.48,0.38,654,4051.34,154.29
422,6,405.06,67.51,0.25,Weight Captured Separately,Freight Included in Commodity Cost,0.65
423,600,870.0,1.45,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1.39
438,400,2800.0,7.0,0.12,81,2211.05,4.48
459,6,77.1,12.85,0.21,Weight Captured Separately,Freight Included in Commodity Cost,0.12
464,5498,439785.02,79.99,0.8,1251,16090.22,703.66
465,5498,54.98,0.01,0.0,Weight Captured Separately,Invoiced Separately,0.09
466,15,691.42,46.09,2.3,Weight Captured Separately,Freight Included in Commodity Cost,1.11
530,1344,18359.04,13.66,0.46,1537,13507.92,29.37
531,20,103.4,5.17,0.09,Weight Captured Separately,Freight Included in Commodity Cost,0.2
532,100,1906.0,19.06,0.64,Weight Captured Separately,Freight Included in Commodity Cost,3.05
