id,country
1,Côte d'Ivoire
3,Vietnam
4,Côte d'Ivoire
15,Vietnam
16,Vietnam
23,Nigeria
44,Zambia
45,Tanzania
46,Nigeria
47,Zambia
60,Zambia
61,Zambia
62,Nigeria
64,Rwanda
65,Haiti
68,Zimbabwe
69,Nigeria
80,Rwanda
81483,Vietnam
87,Tanzania
92,Nigeria
96,Nigeria
108,Côte d'Ivoire
115,Vietnam
116,Vietnam
130,Haiti
134,Haiti
138,Tanzania
139,Tanzania
140,Tanzania
161,Ethiopia
176,Nigeria
262,South Africa
269,Vietnam
270,Vietnam
284,Rwanda
305,Nigeria
343,South Africa
361,Haiti
391,Côte d'Ivoire
392,Côte d'Ivoire
398,Guyana
399,Guyana
400,Ethiopia
410,Zimbabwe
411,Nigeria
414,Namibia
420,Vietnam
422,South Africa
423,South Africa
438,Vietnam
459,South Africa
464,Nigeria
465,Nigeria
466,Ethiopia
530,Vietnam
531,South Africa
532,South Africa
533,South Africa
535,Tanzania
543,Haiti
551,Haiti
598,South Africa
610,Vietnam
630,Nigeria
637,Vietnam
646,South Africa
660,Vietnam
668,Guyana
670,Zambia
712,Namibia
717,Côte d'Ivoire
719,Côte d'Ivoire
772,Nigeria
791,Namibia
796,Botswana
797,Zambia
835,South Africa
836,South Africa
837,South Africa
838,South Africa
2947,Vietnam
839,South Africa
849,Guyana
858,Tanzania
914,Côte d'Ivoire
937,Mozambique
960,Vietnam
961,Vietnam
962,Vietnam
979,Vietnam
985,Tanzania
986,Tanzania
993,Rwanda
1037,Nigeria
1046,Haiti
1047,Haiti
1048,Haiti
1063,South Africa
1065,South Africa
1066,South Africa
1067,South Africa
1068,South Africa
1070,South Africa
1077,South Africa
1078,South Africa
1079,South Africa
1080,South Africa
1084,South Africa
1085,South Africa
1086,South Africa
1095,Botswana
1109,Côte d'Ivoire
1110,Côte d'Ivoire
1111,South Africa
1114,South Africa
1115,South Africa
1122,Haiti
1134,Kenya
1140,Nigeria
1156,Rwanda
1162,Côte d'Ivoire
1179,Vietnam
1183,Vietnam
1196,Botswana
1198,Namibia
1213,Vietnam
1215,Namibia
1221,South Africa
1222,South Africa
1223,South Africa
1245,Côte d'Ivoire
1246,Côte d'Ivoire
1251,Vietnam
1262,Haiti
1279,Zimbabwe
1281,Nigeria
1282,Vietnam
1283,Vietnam
1285,Guyana
1295,Mozambique
1298,Vietnam
1299,Rwanda
1300,Rwanda
1303,Ethiopia
1306,Vietnam
1307,Nigeria
1309,Ethiopia
1337,Côte d'Ivoire
1347,Nigeria
1350,Côte d'Ivoire
1356,Vietnam
1357,Vietnam
1358,Vietnam
1359,Vietnam
1360,Vietnam
1361,Vietnam
1383,Tanzania
1502,Rwanda
1512,South Africa
1513,South Africa
1519,Vietnam
1527,Nigeria
1529,Rwanda
1530,Vietnam
1531,Kazakhstan
1549,Nigeria
1587,South Africa
1593,Botswana
1594,Nigeria
1618,Mozambique
1628,Zambia
1634,Zambia
1637,Côte d'Ivoire
1638,Mozambique
1643,Côte d'Ivoire
1644,Côte d'Ivoire
1645,Côte d'Ivoire
1646,Guyana
1647,Guyana
1648,Botswana
1861,Rwanda
1660,Zimbabwe
1673,South Africa
1674,South Africa
1675,South Africa
1691,Vietnam
1693,Vietnam
1719,Côte d'Ivoire
1722,South Africa
1723,South Africa
1724,South Africa
1730,Nigeria
1797,Vietnam
1798,Vietnam
1801,South Africa
1802,South Africa
1803,South Africa
1804,South Africa
1820,Haiti
1888,Rwanda
1889,Rwanda
1905,Vietnam
1919,Vietnam
1926,South Africa
1927,South Africa
1928,South Africa
1929,South Africa
1939,Zambia
1940,Guyana
1941,Nigeria
1942,Nigeria
1954,Vietnam
1955,Vietnam
1956,Vietnam
1957,Vietnam
1971,Guyana
1972,Ethiopia
1973,Ethiopia
2008,Ethiopia
2014,South Africa
2015,South Africa
2146,Ethiopia
2147,Ethiopia
2148,Zimbabwe
2153,Vietnam
2156,South Africa
2157,South Africa
2158,South Africa
2159,South Africa
2171,Nigeria
2173,Namibia
2257,Guyana
2295,Namibia
2297,Vietnam
2298,Vietnam
2305,Nigeria
2328,Haiti
2399,Haiti
2417,Mozambique
2429,South Africa
2430,South Africa
2431,South Africa
2432,South Africa
2436,South Africa
2437,South Africa
2438,South Africa
2439,South Africa
2440,South Africa
2441,Uganda
2447,South Africa
2450,South Africa
2451,South Africa
2463,Rwanda
2474,South Africa
2475,South Africa
2476,South Africa
2477,Guyana
2478,Guyana
2481,South Africa
2499,Nigeria
2502,Kenya
2503,Kenya
2506,Nigeria
2536,Rwanda
2539,Côte d'Ivoire
2558,Namibia
2559,Vietnam
2562,Côte d'Ivoire
2571,Namibia
2588,Vietnam
2601,South Africa
2602,South Africa
2603,Zambia
2632,Guyana
2647,Côte d'Ivoire
2654,Haiti
2655,Vietnam
2656,Vietnam
2657,Vietnam
2661,Nigeria
2662,Nigeria
2680,Zambia
2681,Zambia
2683,Nigeria
2684,Nigeria
2685,Zambia
2686,Vietnam
2687,Vietnam
2705,Haiti
2708,Vietnam
2721,Zambia
2733,Côte d'Ivoire
2740,Nigeria
2741,Nigeria
2756,Nigeria
2765,Vietnam
2766,Vietnam
2767,Vietnam
2785,Vietnam
2794,Tanzania
2795,Tanzania
2796,Namibia
2808,Ethiopia
2823,Guyana
2892,Uganda
2921,South Africa
2922,South Africa
2923,South Africa
2927,Rwanda
2960,Haiti
2965,Haiti
2993,South Africa
2994,South Africa
2995,South Africa
2996,South Africa
3007,Côte d'Ivoire
3008,Nigeria
3009,Nigeria
3010,Nigeria
3026,South Africa
3037,Ethiopia
3039,Mozambique
3040,Zambia
3049,Côte d'Ivoire
3050,Côte d'Ivoire
3055,Uganda
3080,South Africa
3081,South Africa
3094,Vietnam
3096,Vietnam
3097,Vietnam
3152,Botswana
3153,Botswana
3154,Botswana
3159,Ethiopia
3191,South Africa
3192,South Africa
3193,South Africa
3202,Haiti
3245,Zambia
3261,Vietnam
3282,South Africa
3292,Nigeria
3294,Uganda
3302,Vietnam
3313,Zambia
3354,Ethiopia
3357,South Africa
3358,South Africa
3359,South Africa
3360,Namibia
3375,Côte d'Ivoire
3378,Mozambique
3386,Mozambique
3419,Côte d'Ivoire
3421,Nigeria
3441,Zambia
3456,Vietnam
3457,Namibia
3470,Uganda
3479,Ethiopia
3490,South Africa
3499,Tanzania
3507,Nigeria
3508,Namibia
3551,Guyana
3552,Guyana
3615,Vietnam
3616,Vietnam
3674,Rwanda
3718,Haiti
3719,Haiti
3735,South Africa
3736,South Africa
3737,South Africa
3738,South Africa
3739,South Africa
3743,South Africa
3745,South Africa
3746,South Africa
3747,South Africa
3748,South Africa
3749,South Africa
3751,South Africa
3752,South Africa
3753,South Africa
3754,South Africa
3763,South Africa
3767,South Africa
4020,Vietnam
3768,South Africa
3769,South Africa
3770,South Africa
3771,South Africa
3772,South Africa
3781,Botswana
3787,South Africa
3808,Kenya
3828,Rwanda
3839,Namibia
3840,Côte d'Ivoire
3846,Vietnam
3848,Vietnam
3851,Vietnam
3852,Vietnam
3870,Botswana
3880,Vietnam
3894,South Africa
3895,South Africa
3896,South Africa
