id,manufacturing_site,first_line_designation
1,Ranbaxy Fine Chemicals LTD,True
3,"Aurobindo Unit III, India",True
4,ABBVIE GmbH & Co.KG Wiesbaden,True
15,"Ranbaxy, Paonta Shahib, India",True
16,"Aurobindo Unit III, India",True
23,"Aurobindo Unit III, India",True
44,MSD South Granville Australia,True
45,"Aurobindo Unit III, India",True
46,"Aurobindo Unit III, India",False
47,ABBVIE (Abbott) St. P'burg USA,True
60,ABBVIE Ludwigshafen Germany,True
61,"Trinity Biotech, Plc",True
62,"EY Laboratories, USA",True
64,"Cipla, Goa, India",True
65,ABBVIE GmbH & Co.KG Wiesbaden,True
68,"BMS Meymac, France",True
69,ABBVIE GmbH & Co.KG Wiesbaden,True
80,Premier Med. Corp Ltd. India,True
81483,"Cipla, Goa, India",True
87,"BMS Meymac, France",True
92,ABBVIE GmbH & Co.KG Wiesbaden,True
96,Chembio Diagnostics Sys. Inc.,True
108,"BMS Meymac, France",True
115,"Aurobindo Unit III, India",True
116,ABBVIE Ludwigshafen Germany,True
130,Inverness Japan,True
134,"Pacific Biotech, Thailand",True
138,"Standard Diagnostics, Korea",True
139,"Standard Diagnostics, Korea",True
140,"Standard Diagnostics, Korea",True
161,"Aurobindo Unit III, India",True
176,Chembio Diagnostics Sys. Inc.,True
262,GSK Mississauga (Canada),True
269,Gilead(Nycomed) Oranienburg DE,True
270,"Ranbaxy, Paonta Shahib, India",True
284,Inverness Japan,True
305,Inverness Japan,True
343,"BMS Meymac, France",True
361,"Trinity Biotech, Plc",True
391,Bio-Rad Laboratories,True
392,"Standard Diagnostics, Korea",True
398,Inverness Japan,True
399,Inverness Japan,True
400,"Trinity Biotech, Plc",True
410,Inverness Japan,True
411,Chembio Diagnostics Sys. Inc.,True
414,Inverness Japan,True
420,Mylan (formerly Matrix) Nashik,True
422,Roche Basel,True
423,"BMS Meymac, France",False
438,"BMS Meymac, France",True
459,"BMS Meymac, France",True
464,Inverness Japan,True
465,Inverness Japan,True
466,"Trinity Biotech, Plc",True
530,Mylan (formerly Matrix) Nashik,True
531,"BMS Meymac, France",True
532,"BMS Meymac, France",True
533,"BMS Meymac, France",False
535,"BMS Meymac, France",True
543,"Pacific Biotech, Thailand",True
551,"Trinity Biotech, Plc",True
598,GSK Ware (UK),True
610,"Aurobindo Unit III, India",True
630,"Novartis Pharma AG, Switzerland",True
637,"Aurobindo Unit III, India",True
646,"BI, Ingelheim, Germany",True
660,Mylan (formerly Matrix) Nashik,True
668,Not Applicable,True
670,Inverness Japan,True
712,"Trinity Biotech, Plc",True
717,Bio-Rad Laboratories,True
719,Ipca Dadra/Nagar Haveli IN,True
772,"MSD, Haarlem, NL",True
791,Inverness Japan,True
796,"Trinity Biotech, Plc",True
797,"Standard Diagnostics, Korea",True
835,"Aspen-OSD, Port Elizabeth, SA",True
836,"Aspen-OSD, Port Elizabeth, SA",True
837,"BMS Meymac, France",False
838,"BMS Meymac, France",False
2947,"Aurobindo Unit III, India",True
839,ABBVIE (Abbott) Logis. UK,False
849,Not Applicable,True
858,"MSD, Haarlem, NL",True
914,Gland Pharma Ltd Pally Factory,True
937,"Trinity Biotech, Plc",True
960,"Aurobindo Unit III, India",True
961,"Aurobindo Unit III, India",False
962,"Cipla, Goa, India",True
979,"Aurobindo Unit III, India",True
985,ABBVIE (Abbott) Logis. UK,True
986,ABBVIE Ludwigshafen Germany,True
993,Premier Med. Corp Ltd. India,True
1037,"BMS Meymac, France",True
1046,"BMS Meymac, France",True
1047,"BMS Meymac, France",False
1048,ABBVIE Ludwigshafen Germany,True
1063,"Aurobindo Unit III, India",True
1065,"Cipla, Goa, India",True
1066,"Aurobindo Unit III, India",False
1067,"BMS Meymac, France",True
1068,GSK Mississauga (Canada),True
1070,"Aurobindo Unit III, India",True
1077,"Aurobindo Unit III, India",True
1078,"Aurobindo Unit III, India",True
