id,vendor_inco_term,shipment_mode,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date
1,EXW,Air,Date Not Captured,2-Jun-06,2-Jun-06,2-Jun-06
3,EXW,Air,Date Not Captured,14-Nov-06,14-Nov-06,14-Nov-06
4,FCA,Air,Date Not Captured,27-Aug-06,27-Aug-06,27-Aug-06
15,EXW,Air,Date Not Captured,1-Sep-06,1-Sep-06,1-Sep-06
16,EXW,Air,Date Not Captured,11-Aug-06,11-Aug-06,11-Aug-06
23,EXW,Air,Date Not Captured,28-Sep-06,28-Sep-06,28-Sep-06
44,DDU,Air,Date Not Captured,8-Jan-07,8-Jan-07,8-Jan-07
45,EXW,Air,Date Not Captured,24-Nov-06,24-Nov-06,24-Nov-06
46,EXW,Air,Date Not Captured,7-Dec-06,7-Dec-06,7-Dec-06
47,CIP,Air,11/13/2006,30-Jan-07,30-Jan-07,30-Jan-07
60,CIP,Air,12/1/2006,16-Feb-07,16-Feb-07,16-Feb-07
61,EXW,Air,Date Not Captured,8-Jan-07,8-Jan-07,8-Jan-07
62,EXW,Air,Date Not Captured,10-Jan-07,10-Jan-07,10-Jan-07
64,EXW,Air,12/22/2006,27-Feb-07,27-Feb-07,27-Feb-07
65,EXW,Air,Date Not Captured,18-Jan-07,18-Jan-07,18-Jan-07
68,CIP,Air,1/10/2007,19-Mar-07,19-Mar-07,19-Mar-07
69,CIP,N/A,Date Not Captured,7-May-07,7-May-07,7-May-07
80,EXW,Air,Date Not Captured,29-Mar-07,29-Mar-07,29-Mar-07
81483,EXW,Air,8/15/2012,12-Nov-12,12-Nov-12,12-Nov-12
87,CIP,Air,4/12/2007,6-Jun-07,6-Jun-07,6-Jun-07
92,EXW,Air,5/13/2007,19-Jun-07,19-Jun-07,19-Jun-07
96,EXW,Air,5/17/2007,19-Jun-07,19-Jun-07,19-Jun-07
108,CIP,Air,7/13/2007,2-Oct-07,2-Oct-07,2-Oct-07
115,EXW,Air,7/4/2007,15-Oct-07,15-Oct-07,15-Oct-07
116,FCA,Air,7/4/2007,27-Aug-07,27-Aug-07,27-Aug-07
130,EXW,Air,7/26/2007,13-Aug-07,21-Aug-07,21-Aug-07
134,EXW,Air,7/26/2007,25-Aug-07,25-Aug-07,25-Aug-07
138,EXW,Air,Date Not Captured,16-Oct-07,16-Oct-07,16-Oct-07
139,EXW,Air,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07
140,EXW,Air,Date Not Captured,22-Nov-07,22-Nov-07,22-Nov-07
161,EXW,Air,10/3/2007,20-Nov-07,20-Nov-07,20-Nov-07
176,EXW,Air,8/28/2007,3-Oct-07,3-Oct-07,3-Oct-07
262,DDP,N/A,11/12/2007,29-Jan-08,29-Jan-08,29-Jan-08
269,EXW,Air,11/19/2007,21-Jan-08,21-Jan-08,21-Jan-08
270,EXW,Air,11/21/2007,21-Jan-08,21-Jan-08,21-Jan-08
284,EXW,Air,12/10/2007,31-Jan-08,31-Jan-08,31-Jan-08
305,EXW,Air,Date Not Captured,5-Feb-08,5-Feb-08,5-Feb-08
343,DDP,N/A,1/4/2008,21-Jan-08,4-Jan-08,4-Jan-08
361,EXW,Air,Date Not Captured,18-Feb-08,18-Feb-08,18-Feb-08
391,EXW,Air,2/27/2008,17-Jun-08,17-Jun-08,17-Jun-08
392,EXW,Air,3/3/2008,19-Mar-09,19-Mar-09,19-Mar-09
398,EXW,Air,2/28/2008,9-Apr-08,1-Apr-08,1-Apr-08
399,EXW,Air,2/28/2008,28-Jul-08,28-Jul-08,28-Jul-08
400,DDP,N/A,2/29/2008,11-Mar-08,11-Mar-08,11-Mar-08
410,EXW,Air,3/17/2008,17-Nov-08,17-Nov-08,17-Nov-08
411,EXW,Air,3/13/2008,17-Apr-08,17-Apr-08,17-Apr-08
